appid,name,developer,categories,genres,steamspy_tags
217690,Anna - Extended Edition,Dreampainters,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Horror;Adventure;Indie
217750,Age of Conan: Unchained,Funcom,MMO,Action;Adventure;Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG
217790,Dogfight 1942,City Interactive,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support,Simulation,Simulation;Flight;World War II
217920,Alien Rage - Unlimited,CI Games,Single-player;Multi-player;Steam Achievements;Steam Leaderboards,Action,Action;FPS;Sci-fi
218020,Nethergate: Resurrection,Spiderweb Software,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy
218040,Democracy 2,Positech Games,Single-player,Indie;Simulation;Strategy,Simulation;Strategy;Indie
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Gaijin Games,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Platformer;Indie;Rhythm
218090,Unity of Command: Stalingrad Campaign,2x2 Games,Single-player;Multi-player,Indie;Strategy,Strategy;World War II;Turn-Based Strategy
218230,PlanetSide 2,Daybreak Game Company,Multi-player;MMO;Steam Trading Cards,Action;Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;FPS
218410,Defender's Quest: Valley of the Forgotten (DX edition),"Level Up Labs, LLC",Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Indie;RPG;Strategy,Tower Defense;RPG;Indie
218510,Planets Under Attack,Targem Games,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Indie;Space
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Action;RPG,Co-op;Action;FPS
218640,Lucius,Shiver Games,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;Gore;Action;Adventure;Indie,Horror;Adventure;Nudity
218660,iBomber Attack,Cobra Mobile,Single-player;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure
218680,Scribblenauts Unlimited,5th Cell Media,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Adventure;Casual;Strategy,Puzzle;Casual;Adventure
218700,Angelica Weaver: Catch Me When You Can,MumboJumbo,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object
218740,Pid,Might and Delight,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Adventure;Indie,Indie;Platformer;Adventure
218820,Mercenary Kings: Reloaded Edition,Tribute Games Inc.,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Action;Indie;2D
219070,Miner Wars Arena,Keen Software House,Single-player,Action;Indie,Action;Indie
